id,Creative Habits,Creative Species,Top Species Habits,Gender,Discipline,Cluster,n_Creative_Habits,ClusterBridging,ClusterCentrality,Cluster_Fraction,x_tsne,y_tsne,label,OriginalLabel,OriginalX,OriginalY,OriginalSize
1,Monotasker|Solo Creator|Self-Critical|Dislike Distractions|Outwardly Inspired|Rational|Kinetic|Slow-Paced|Risk-Averse|Make It Happen|Tenacious|Private Spaces|Quiet/Silence|Early Bird,Mono Routinus,"Risk-Averse, Routine-Seeker, Dislike Distractions, Monotasker, Make It Happen",,,Creative Species 1,15,-0.5845813588902099,1.292786472567058,0.2128101318384719,-15.12906169891357,-10.84603691101074,1,1,-15.12906169891357,-10.84603691101074,10
4,Multitasker|Generalist|Collaborator|Self-Assured|Dislike Distractions|Outwardly Inspired|Intuitive|Externally Motivated|Kinetic|Tidy|Fast-Paced|Perfectionist|Risk-Friendly|Let It Happen|Reframer|Public Spaces|Noise/Music|Nature-Lover|Routine-Seeker|Stimulated By Constraints|Early Bird,Socialis Adventurous,"Collaborator, Risk-Friendly, Multitasker, Reframer, Kinetic",,,Creative Species 3,22,-0.7947878250542739,6.164235634267244,0.1881033945811274,29.51200294494629,-2.726788759231567,4,4,29.51200294494629,-2.726788759231567,10
5,Specialist|Solo Creator|Self-Critical|Dislike Distractions|Intuitive|Internally Motivated|Kinetic|Slow-Paced|Perfectionist|Risk-Averse|Let It Happen|Reframer|Private Spaces|Quiet/Silence|Routine-Seeker|Stimulated By Constraints|Early Bird,Sui Inspira,"Routine-Seeker, Private Spaces, Internally Motivated, Solo Creator, Inwardly Inspired",Female,Arts-Design,Creative Species 6,17,1.255269019475691,0.494442583419514,0.09820409010692412,-14.11728572845459,-1.776380896568298,5,5,-14.11728572845459,-1.776380896568298,10
7,Specialist|Solo Creator|Dislike Distractions|Inwardly Inspired|Internally Motivated|Kinetic|Comforting Mess|Risk-Friendly|Reframer|Public Spaces|Quiet/Silence|Nature-Lover|Novelty-Seeker|Stifled By Constraints|Early Bird,Focus Mononovous,"Novelty-Seeker, Monotasker, Stifled By Constraints, Quiet/Silence, Dislike Distractions",,,Creative Species 4,16,-0.5157092257621456,0.3385197149583792,0.1397280182705284,0.7174950838088989,7.777588367462158,7,7,0.7174950838088989,7.777588367462158,10
8,Monotasker|Solo Creator|Dislike Distractions|Outwardly Inspired|Internally Motivated|Kinetic|Tidy|Private Spaces|Quiet/Silence|Nature-Lover|Stifled By Constraints|Night Owl,Focus Mononovous,"Novelty-Seeker, Monotasker, Stifled By Constraints, Quiet/Silence, Dislike Distractions",,,Creative Species 4,12,0.1647601200977736,1.190075362849942,0.1397280182705284,-6.395881175994873,2.307188987731934,8,8,-6.395881175994873,2.307188987731934,10
9,Generalist|Collaborator|Outwardly Inspired|Intuitive|Externally Motivated|Kinetic|Comforting Mess|Risk-Friendly|Reframer|Public Spaces|Novelty-Seeker|Stifled By Constraints,Socialis Adventurous,"Collaborator, Risk-Friendly, Multitasker, Reframer, Kinetic",Female,,Creative Species 3,12,-0.8547887067824074,1.157295964126084,0.1881033945811274,25.06653785705566,0.7870606184005737,9,9,25.06653785705566,0.7870606184005737,10
10,Multitasker|Generalist|Love Distractions|Outwardly Inspired|Rational|Externally Motivated|Kinetic|Let It Happen|Reframer|Public Spaces|Noise/Music|Stimulated By Constraints|Early Bird,Novo Gregarious,"Novelty-Seeker, Externally Motivated, Outwardly Inspired, Collaborator, Noise/Music",Female,Business-Entrepreneurship,Creative Species 5,14,-0.6762397865895458,0.6294152622080085,0.1024602927436936,26.88266563415527,-15.15345859527588,10,10,26.88266563415527,-15.15345859527588,10
16,Multitasker|Generalist|Dislike Distractions|Outwardly Inspired|Rational|Externally Motivated|Kinetic|Tidy|Fast-Paced|Perfectionist|Risk-Friendly|Reframer|Private Spaces|Quiet/Silence|Nature-Agnostic|Routine-Seeker|Early Bird,Socialis Adventurous,"Collaborator, Risk-Friendly, Multitasker, Reframer, Kinetic",Female,Science-Engineering|Arts-Design,Creative Species 3,18,-0.3469184508446169,0.9152362320563391,0.1881033945811274,9.132172584533691,-9.247876167297363,16,16,9.132172584533691,-9.247876167297363,10
19,Solo Creator|Inwardly Inspired|Kinetic|Risk-Friendly|Reframer|Private Spaces|Noise/Music|Nature-Lover|Novelty-Seeker|Stifled By Constraints|Night Owl,Yolo Chaotis,"Novelty-Seeker, Risk-Friendly, Stifled By Constraints, Internally Motivated, Multitasker",Male,Arts-Design,Creative Species 2,12,0.4827177062308275,0.05308050772877853,0.1993148551853005,3.525300025939941,23.23508262634277,19,19,3.525300025939941,23.23508262634277,10
23,Monotasker|Self-Critical|Dislike Distractions|Outwardly Inspired|Rational|Externally Motivated|Kinetic|Tidy|Slow-Paced|Perfectionist|Risk-Friendly|Make It Happen|Tenacious|Private Spaces|Novelty-Seeker|Stifled By Constraints|Night Owl,Focus Mononovous,"Novelty-Seeker, Monotasker, Stifled By Constraints, Quiet/Silence, Dislike Distractions",Male,,Creative Species 4,18,1.919284678287058,1.026887262144185,0.1397280182705284,-4.91937780380249,-6.133749961853027,23,23,-4.91937780380249,-6.133749961853027,10
